umbrella	 n.: 雨伞
flora，n.	（某地区或时期的）植物群
floral，adj.	花的；有花卉图案的
floriferous，adj.	多花的
florist，n.	花商；花店
flour，n.	面粉
flour，v.	撒粉
flourish，n.	繁荣；挥舞
flourish，v.	繁荣；茂盛；挥舞
flourishing，adj.	繁荣的；茂盛的
flourishment，n.	繁荣
flow，n.	流动；流量
flow，v.	流动
flow chart，n.	流程图
flow of execution，idiom/phrase: 执行流程	
flow through，v.	流经
flower，v.	开花；繁荣
flower arrangement，n.	插花
flower vase，n.	花瓶
flowers，n.	花（复数）
flowers or cosmetics，n.	花或化妆品
flowers or landscape，n.	花或风景
fluctuate，v.	波动；起伏
fluctuation，n.	波动；起伏
fluency，n.	流利；流畅
fluent，adj.	流利的；流畅的
fluffy，adj.	松软的；毛茸茸的
fluid，adj.	流动的；不固定的
fluid，n.	液体；流体
fluidity，n.	流动性
fluids，n.	液体（复数）
fluke，n.	侥幸；意外的好运
fluorescent，adj.	荧光的
fluorescent lamp，idiom/phrase: 荧光灯	
flush，v.	冲洗；（脸）发红
fluster，v.	使慌乱
flustered，adj.	慌乱的
flute，n.	长笛
flutter，v.	振翅；飘动；（心脏）怦怦跳
flux，n.	不断的变动；流量
flyby，n.	飞越
flyer，n.	传单；飞行员
foam，n.	泡沫
foam，v.	起泡沫
focal，adj.	焦点的；中心的
focus，n.	焦点；中心
focus，v.	集中；聚焦
foe，n.	敌人
foetus，n.	胎儿
fog，n.	雾
foil，n.	箔；陪衬
foil，v.	挫败；阻止
fold，n.	折痕；褶
folded，adj.	折叠的
folding，adj.	可折叠的
folk，adj.	民间的
folk，n.	人们；民俗
follow，n.	跟随
follow，v.	跟随；遵守；明白
following，adj.	接下来的；下列的
following，n.	追随者
foment，v.	煽动；挑起
fond，adj.	喜爱的；深情的
fondness，n.	喜爱；钟爱
font，n.	字体
food，n.	食物；食品
food chain，n.	食物链
food containers，n.	食品容器
food for the Spring Festival，n.	春节食品
food intake，n.	食物摄入量
food mixer，n.	食品搅拌机
food processing，n.	食品加工
food source，n.	食物来源
food supply，n.	食品供应
foods，n.	食物（种类）
fool，n.	傻瓜；笨蛋
fool，v.	欺骗；愚弄
foolish，adj.	愚蠢的
foot，n.	脚；英尺；底部
foot massage，n.	足部按摩
footage，n.	（影片的）片段
football field，n.	足球场
football helmet，n.	橄榄球头盔
football pitch，n.	足球场
football player，n.	足球运动员
football sock，n.	足球袜
footbridge，n.	人行天桥
footbridges，n.	人行天桥（复数）
footlight，n.	脚灯
footpath，n.	小路；人行道
footprint，n.	脚印；足迹
footprints，n.	脚印（复数）
footstep，n.	脚步声；足迹
for free，idiom/phrase: 免费	
for good，idiom/phrase: 永久地	
for instance，idiom/phrase: 例如	
for loops，idiom/phrase: for循环	
for the sake of，idiom/phrase: 为了	
forage，n.	饲料
forage，v.	搜寻（食物）
forager，n.	觅食者
forbidding，adj.	令人生畏的；险恶的
force，n.	力量；武力；军队
force，v.	强迫；迫使
forced，adj.	被迫的；勉强的
forced landing，n.	迫降
forecourt，n.	前院
forebear，n.	祖先
forecast，n.	预测；预报
forecast，v.	预测；预报
forefather，n.	祖先
forefathers，n.	祖先（复数）
forefront，n.	最前沿
foregone conclusion，idiom/phrase: 预料之中的结果	
foreground，n.	前景
forehead，n.	前额
foreign，adj.	外国的；陌生的
foreign exchange，n.	外汇
foreign language，n.	外语
foreigner，n.	外国人
foreland，n.	前沿地带；海角
foreman，n.	工头；领班
foremost，adj.	最重要的；最先的
foresee，v.	预见；预知
foreseeable，adj.	可预见的
foresight，n.	远见
forest campsite，n.	森林露营地
forestall，v.	预先阻止
forestry，n.	林业
forests，n.	森林（复数）
foretell，v.	预言
foreword，n.	前言；序
forfeit，n.	罚金；丧失的东西
forfeit，v.	（因犯错而）丧失
forge，n.	熔炉；铁匠铺
forge，v.	伪造；稳步前进
forgery，n.	伪造品；伪造罪
forget-me-not，n.	勿忘我
forgive，v.	原谅；宽恕
forgo，v.	放弃
fork，n.	叉子；岔路口
form，n.	形式；表格；形状
formal，adj.	正式的；官方的
formaldehyde，n.	甲醛
formality，n.	礼节；正式手续
format，n.	格式；版式
format，v.	使格式化
formation，n.	形成；构成；队形
formative，adj.	形成性的
formats，n.	格式（复数）
formed，adj.	成形的
former，adj.	以前的；前者
formerly，adv.	以前
formidable，adj.	可怕的；令人敬畏的；难以对付的
forms，n.	表格（复数）
formula，n.	公式；配方；方案
formulate，v.	制定；构想；明确表达
formulation，n.	制定；构想
fort，n.	堡垒；要塞
forth，adv.	向前；往外
forthcoming，adj.	即将到来的
fortify，v.	加强；增强
fortitude，n.	刚毅；坚韧
fortnight，n.	两星期
fortuitous，adj.	偶然的
fortunate，adj.	幸运的
fortune，n.	财富；运气；命运
fortune-teller，n.	算命先生
forum，n.	论坛
forward，n.	前锋
forward，v.	转发；促进
forward-looking，adj.	有远见的
forwards，adv.	向前
fossil，n.	化石
fossilise，v.	使石化
foster，adj.	收养的
foster，v.	培养；抚育；促进
foul，adj.	犯规的；肮脏的；恶劣的
foul，n.	犯规
foul，v.	犯规；弄脏
foundation，n.	基础；地基；基金会
foundational，adj.	基础的
fountain，n.	喷泉；源泉
fountain pen，n.	钢笔
four nights，idiom/phrase: 四晚	
four nil，idiom/phrase: 四比零	
four treasures of the study，idiom/phrase: 文房四宝	
four-wheel-drive tour，idiom/phrase: 四驱车之旅	
four-year degree，idiom/phrase: 四年制学位	
fourfold，adj.	四倍的
foxtrot，n.	狐步舞
foyer，n.	（剧院、宾馆的）门厅，休息室
fraction，n.	小部分；分数
fracture，n.	骨折；断裂
fracture，v.	（使）骨折；（使）断裂
fragile，adj.	易碎的；脆弱的
fragment，n.	碎片；片段
fragment，v.	（使）成碎片
fragmentary，adj.	零碎的；不完整的
fragmentation，n.	破碎；分裂
fragrance，n.	香味；香水
fragrant，adj.	芳香的
frail，adj.	脆弱的；虚弱的
frailty，n.	脆弱；弱点
frame，n.	框架；结构；眼镜框
frame，v.	给…镶框；陷害
framed，adj.	有框的
framework，n.	框架；结构
franchise，n.	特许经营权
franchise，v.	授予特许经营权
frank，adj.	坦率的；真诚的
frantically，adv.	疯狂地
fraud，n.	欺诈；骗子
fraught，adj.	充满（问题、危险）的；令人担忧的
freckle，n.	雀斑
free，adj.	免费的；自由的；空闲的
free，adv.	免费地；自由地
free，v.	释放；使自由
free accommodation，idiom/phrase: 免费住宿	
free booklet，idiom/phrase: 免费小册子	
free drink，idiom/phrase: 免费饮料	
free entry，idiom/phrase: 免费入场	
free exercise，idiom/phrase: 自由体操	
free kick，idiom/phrase: 任意球	
free luggage allowance，idiom/phrase: 免费行李额	
free meal，idiom/phrase: 免费餐	
free medication，idiom/phrase: 免费药物	
free parking，idiom/phrase: 免费停车	
free port，n.	自由港
free radical，n.	自由基
free style，idiom/phrase: 自由式	
free time，n.	空闲时间
free transportation，idiom/phrase: 免费交通	
free up，v.	腾出；释放
free-hand exercise，idiom/phrase: 徒手体操	
free-ranging，adj.	自由放养的
free-style wrestling，n.	自由式摔跤
freedom，n.	自由
freefone，n.	免费电话
freelance，adj.	自由职业的
freelance，n.	自由职业者
freelancer，n.	自由职业者
freeway，n.	高速公路
freeze，n.	冰冻；冻结
freeze，v.	（使）结冰；冷冻；（工资、物价）冻结
freezer，n.	冰箱；冷冻柜
freezing，adj.	极冷的
freight，n.	货物；货运
freight，v.	运送（货物）
freighter，n.	货船
frequency，n.	频率；频繁
frequent，adj.	频繁的；经常的
frequent，v.	常去
frequently，adv.	频繁地；经常地
fresco，n.	壁画
fresh，adj.	新鲜的；新的；清新的
fresh air，idiom/phrase: 新鲜空气	
fresh and modern，idiom/phrase: 清新现代	
fresh food，idiom/phrase: 新鲜食物	
fresh meat，n.	鲜肉
fresh water，n.	淡水
freshen，v.	（使）清新
fresher，n.	（大学）新生
freshman，n.	（大学）新生
freshwater，adj.	淡水的
freshwater fish，n.	淡水鱼
friction，n.	摩擦；矛盾
frictional，adj.	摩擦的
fried egg，n.	煎蛋
friendly，adj.	友好的
friendly match，n.	友谊赛
friends，n.	朋友（复数）
fright，n.	惊吓
frighten，v.	使惊吓
frightened，adj.	受惊的；害怕的
frightening，adj.	令人恐惧的
frightful，adj.	可怕的；极坏的
frigid，adj.	寒冷的；冷淡的
fringe，n.	边缘；刘海
fritter，v.	浪费（时间、金钱）
frock，n.	连衣裙
frogs，n.	青蛙（复数）
from generation to generation，idiom/phrase: 世世代代	
front，n.	前面；正面；前线
front，v.	朝向；面对
front cover，n.	封面
front desk，n.	前台
front door，n.	前门
front doorbell，n.	前门门铃
front garden，n.	前花园
front page，n.	头版
front room，n.	前厅
front row ticket，n.	前排票
front-line，adj.	前线的
frontier，n.	边境；前沿
frost，n.	霜；严寒
frost，v.	结霜
froth，n.	泡沫
froth，v.	起泡沫
frown，n.	皱眉
frown，v.	皱眉
frown upon，v.	不赞成
frozen meat，n.	冻肉
frugal，adj.	节俭的
fruit cake，n.	水果蛋糕
fruit juice，n.	果汁
fruit tree，n.	果树
fruitcake，n.	水果蛋糕
fruitful，adj.	富有成效的
fruitful function，idiom/phrase: 有返回值的函数	
fruition，n.	实现；完成
fruitless，adj.	徒劳的；不结果实的
fruits，n.	水果（种类）
frustrated，adj.	沮丧的；失意的
frustrating，adj.	令人沮丧的
frustration，n.	沮丧；挫败
fry，v.	煎；炸；炒
frying pan，n.	煎锅
fuel，n.	燃料
fuel，v.	加燃料；加剧
fugitive，n.	逃亡者
fulfil，v.	实现；履行
fulfill，v.	实现；履行
fulfilling，adj.	令人满足的
fulfillment，n.	实现；满足感
fulfilment，n.	实现；满足感
full back，n.	后卫
full employment，n.	充分就业
full name，n.	全名
full of imagination，idiom/phrase: 充满想象力	
full refund，idiom/phrase: 全额退款	
full score，n.	总分；满分
full time，n.	全职
full-length，adj.	全长的；全身的
full-page advertisement，idiom/phrase: 整版广告	
full-time，adj.	全职的
full-time school，idiom/phrase: 全日制学校	
fully，adv.	完全地；充分地
fully-licensed，adj.	有完全执照的
fumble，v.	笨拙地摸索；漏接（球）
fume，v.	发怒；冒烟
fumes，n.	（有害的）烟，气
fun fair，n.	游乐场
function，n.	功能；职责；函数；社交聚会
function，v.	运行；起作用
function annotation，idiom/phrase: 函数注解	
function call，idiom/phrase: 函数调用	
function definition，idiom/phrase: 函数定义	
function object，idiom/phrase: 函数对象	
functional，adj.	功能性的；实用的
functional programming style，idiom/phrase: 函数式编程风格	
functions of products，idiom/phrase: 产品功能	
fund，n.	基金；资金
fund，v.	资助
fundamental，adj.	基本的；根本的
fundamental，n.	基本原则
fundamentally，adv.	根本上
fundamentals，n.	基本原理
funding，n.	资金；经费
funeral，n.	葬礼
fungi，n.	真菌（复数）
fungus，n.	真菌；霉菌
funnel，n.	漏斗；烟囱
funnel，v.	（使）通过漏斗；（使）汇集
funny punch lines，idiom/phrase: 搞笑的妙语	
fur，n.	毛皮
fur seal，n.	海狗
furious，adj.	狂怒的；激烈的
furnace，n.	熔炉；火炉
furnish，v.	布置（家具）；提供
furnishing，n.	家具；陈设
furnishings，n.	家具；陈设品
furniture shop，idiom/phrase: 家具店	
further，adj.	更远的；进一步的
further，adv.	进一步地；更远地
further，v.	促进
further education，idiom/phrase: 继续教育	
further training，idiom/phrase: 进修	
furthermore，adv.	此外；而且
fury，n.	狂怒
fuse，n.	保险丝；导火线
fuse，v.	（使）熔合；（使）熔化
fusion，n.	融合；熔合；核聚变
fuss，n.	大惊小怪；忙乱
fuss，v.	大惊小怪；过分挑剔
fussy，adj.	爱挑剔的；大惊小怪的
futile，adj.	徒劳的；无效的
future，n.	未来；前途
future career，idiom/phrase: 未来的职业	
fuzzy，adj.	模糊的；毛茸茸的
gadget，n.	小玩意儿；小装置
gaily，adv.	快乐地；华丽地
gain，n.	收益；增加
gain，v.	获得；增加
gain experience，idiom/phrase: 获得经验	
gain good value，idiom/phrase: 物有所值	
gain information about the past，idiom/phrase: 获取关于过去的信息	
gala celebration for the Spring Festival，idiom/phrase: 春节联欢晚会	
galaxy，n.	星系；银河系
gale，n.	大风
galleon，n.	（旧时）大型帆船
gallery，n.	画廊；美术馆
gallop，v.	（马）飞奔
gamble，n.	赌博；冒险
gamble，v.	赌博；冒险
game，adj.	勇敢的
game，n.	游戏；比赛；猎物
game room，n.	游戏室
game show，n.	游戏节目
games，n.	游戏（复数）；运动会
gang，n.	一帮；一伙
gangster，n.	歹徒；匪徒
gaoler，n.	监狱看守
gap，n.	缺口；差距；间隔
gaps，n.	差距（复数）
garage，n.	车库；汽车修理厂
garbage，n.	垃圾
garbage collection，idiom/phrase: 垃圾收集	
garden，n.	花园；菜园
garden，v.	从事园艺
garden entertainment，idiom/phrase: 园林娱乐	
garden shears，idiom/phrase: 园艺剪	
garden tools，idiom/phrase: 园艺工具	
gardener，n.	园丁
gardening，n.	园艺
garlic，n.	大蒜
garment，n.	（一件）衣服
garments，n.	衣服；服装
garret，n.	阁楼
gas，n.	气体；煤气；汽油
gas emission，idiom/phrase: 气体排放	
gas tanks，n.	煤气罐；油箱
gasoline，n.	汽油
gasp，v.	喘气；倒抽一口气
gate，n.	大门；登机口
gateman，n.	看门人
gather，v.	聚集；收集；认为
gathering，n.	聚会；聚集
gauge，n.	测量仪表；标准
gauge，v.	测量；判断
gauze，n.	纱布
gay，adj.	同性恋的；快乐的
gay，n.	同性恋者
gaze，v.	凝视；注视
gear，n.	齿轮；排挡；装备
gear，v.	使适应
gears or facilities，idiom/phrase: 设备或设施	
geese，n.	鹅（复数）
gel，n.	凝胶
gelatin，n.	明胶
gelatine，n.	明胶
gem，n.	宝石；珍品
gender，n.	性别
gene，n.	基因
gene pool，n.	基因库
general English，idiom/phrase: 通用英语	
general discussion，n.	一般性讨论
general election，n.	大选
general fitness，idiom/phrase: 总体健康状况	
general interest，idiom/phrase: 大众兴趣	
general interests，n.	普遍利益
general knowledge，n.	常识
general practitioner，n.	全科医生
general tour，n.	普通游览
generalisation，n.	概括
generalise，v.	概括；归纳
generalization，n.	概括
generalize，v.	概括；归纳
generally，adv.	通常；普遍地
generate，v.	产生；造成
generation，n.	一代人；产生
generation gap，n.	代沟
generative，adj.	生成的；有生产能力的
generator，n.	发电机
generator expression，idiom/phrase: 生成器表达式	
generator function，idiom/phrase: 生成器函数	
generator iterator，idiom/phrase: 生成器迭代器	
generic，adj.	普通的；一般的
generic function，idiom/phrase: 泛型函数	
generosity，n.	慷慨；大方
generous，adj.	慷慨的；大方的
generous and humorous，adj.	慷慨幽默
genetic，adj.	遗传的；基因的
genetical，adj.	遗传的
genetics，n.	遗传学
genius，n.	天才；天赋
genome，n.	基因组
genre，n.	（文艺作品的）类型，体裁
gentle，adj.	温和的；文雅的
gentle breeze，idiom/phrase: 微风	
gentleman，n.	先生；绅士
gentleness，n.	温柔；文雅
gently，adv.	温柔地；轻轻地
genuine，adj.	真的；真诚的
genuinely，adv.	真诚地；真正地
geographical，adj.	地理的
geographical location，idiom/phrase: 地理位置	
geography，n.	地理
geological，adj.	地质的
geologist，n.	地质学家
geology，n.	地质学
geology and climate，idiom/phrase: 地质与气候	
geometric，adj.	几何的
geometrical，adj.	几何的
geometry，n.	几何学
geophysics，n.	地球物理学
germ，n.	细菌；病菌；萌芽
germ-free，adj.	无菌的
germinate，v.	（使）发芽
germination，n.	发芽
germs，n.	细菌（复数）
gesticulate，v.	做手势
gesture，n.	手势；姿态
gesture，v.	做手势
get，v.	得到；变得；到达
get ... done right away，idiom/phrase: 马上做完	
get ... done straight away，idiom/phrase: 马上做完	
get a good deal，idiom/phrase: 捡到便宜	
get a move on，idiom/phrase: 快点	
get a prize，idiom/phrase: 获奖	
get along with，idiom/phrase: 与…和睦相处	
get better service，idiom/phrase: 得到更好的服务	
get education，idiom/phrase: 接受教育	
get exhausted，idiom/phrase: 筋疲力尽	
get hold of，idiom/phrase: 抓住；得到	
get into sth.，idiom/phrase: 进入；陷入	
get married，idiom/phrase: 结婚	
get off，idiom/phrase: 下车	
get off track，idiom/phrase: 偏离正题	
get on，idiom/phrase: 上车；进展	
get pleasure，idiom/phrase: 获得乐趣	
get sb. into shape，idiom/phrase: 帮助某人恢复体形	
get sth. into shape，idiom/phrase: 把某事整理好	
get the most from，idiom/phrase: 从…中获得最大收益	
get their pension，idiom/phrase: 领养老金	
get through，idiom/phrase: 通过；接通电话；用完	
get to grips，idiom/phrase: 开始认真处理	
get total relaxation，idiom/phrase: 得到完全放松	
get up，idiom/phrase: 起床	
get-together，n.	聚会
ghetto，n.	贫民区
ghost，n.	鬼；幽灵
giant，adj.	巨大的
giant，n.	巨人；巨头
gift shop，n.	礼品店
gifted，adj.	有天赋的
gifted child，n.	天才儿童
gifted people，n.	有天赋的人
gifts，n.	礼物（复数）
gigantic，adj.	巨大的；庞大的
gill，n.	鳃
gilt，adj.	镀金的
gimmick，n.	花招；噱头
gin，n.	杜松子酒
ginger，n.	姜
girl club，idiom/phrase: 女孩俱乐部	
gist，n.	主旨；要点
give，v.	给；给予
give a prescription，idiom/phrase: 开药方	
give advice，idiom/phrase: 提建议	
give children encouragement，idiom/phrase: 给孩子鼓励	
give full weight，idiom/phrase: 给足重量	
give notice of moving in，idiom/phrase: 提前通知入住	
give off a weak light，idiom/phrase: 发出微弱的光	
give rise to，idiom/phrase: 引起；导致	
give sb. a sack，idiom/phrase: 解雇某人	
give short weight，idiom/phrase: 缺斤短两	
give the morning call，idiom/phrase: 提供叫醒服务	
give up life for thrills，idiom/phrase: 为寻求刺激而冒险	
given，adj.	特定的；假定的
given，prep.	考虑到
given name，n.	名字
given tutorial topics，idiom/phrase: 给定的辅导主题	
gizmo，n.	小玩意儿
glacial，adj.	冰川的；极冷的
glacier，n.	冰川
glamor，n.	魅力
glamorise，v.	美化
glamorous，adj.	迷人的；富有魅力的
glamourous，adj.	迷人的；富有魅力的
glance，n.	一瞥
glance，v.	瞥一眼
gland，n.	腺
glare，v.	怒视；发出刺眼的光
glass，n.	玻璃；玻璃杯；眼镜
glass roof，n.	玻璃屋顶
glasses，n.	眼镜
glassware，n.	玻璃器皿
glazing，n.	玻璃窗
gleam，v.	闪烁；发微光
glide，v.	滑行；滑翔
glider，n.	滑翔机
gliding，n.	滑翔
glimpse，n.	一瞥
glimpse，v.	瞥见
glint，v.	闪光
glisten，v.	闪亮
glitter，v.	闪闪发光
global，adj.	全球的；全面的
global market，idiom/phrase: 全球市场	
global payments，idiom/phrase: 全球支付	
global statement，idiom/phrase: 全局声明	
global variable，idiom/phrase: 全局变量	
global view，idiom/phrase: 全球视野	
global warming，n.	全球变暖
globalization，n.	全球化
globe，n.	地球；地球仪；球体
globe-trotter，n.	环球旅行者
gloomy，adj.	阴暗的；沮丧的
glorify，v.	赞美；美化
glorious，adj.	光荣的；辉煌的
glory，n.	光荣；荣誉
gloss，n.	光泽；注释
glossary，n.	词汇表
glossy，adj.	光滑的；有光泽的
glossy advertisement，idiom/phrase: 精美广告	
gloves，n.	手套（复数）
glow，n.	光亮；喜悦
glow，v.	发光；发热；（脸）泛红
glucose，n.	葡萄糖
glutamate，n.	谷氨酸
gnawing，adj.	折磨人的
go，n.	尝试；轮到
go，v.	去；走；进行；变得
go-slow，n.	怠工
goal，n.	目标；球门；得分
goal net，n.	球门网
goal post，n.	门柱
goal shooting，n.	射门
goddess，n.	女神
goggles，n.	护目镜
gold，adj.	金的；金色的
gold，n.	黄金；金色
goldfish，n.	金鱼
golf，n.	高尔夫球
golf course，n.	高尔夫球场
good，adj.	好的；擅长的
good，n.	好处；善
good cause，n.	正当理由
good fortune，n.	好运
good health，n.	身体健康
good listener，n.	好的倾听者
good profit margin，idiom/phrase: 良好的利润空间	
good quality leather，idiom/phrase: 优质皮革	
good quality stuff，idiom/phrase: 优质的东西	
good works，idiom/phrase: 善行	
good-bye，int.	再见
good-humouredly，adv.	和气地
goods，n.	商品；货物
goods to declare，idiom/phrase: 需申报物品	
goodwill，n.	善意；信誉
goose，n.	鹅
gorge，n.	峡谷
gorge，v.	狼吞虎咽
gorgeous，adj.	极好的；华丽的
gorilla，n.	大猩猩
gosh，int.	天哪
gospel truth，n.	绝对真理
gossip，n.	闲话；流言蜚语
gossip，v.	说闲话
gourmet，n.	美食家
govern，v.	统治；管理；控制
government agencies，idiom/phrase: 政府机构	
government bill，n.	政府法案
government election，idiom/phrase: 政府选举	
government grants，n.	政府拨款
government official，n.	政府官员
government organ，n.	政府机关
government policy，n.	政府政策
government relief，n.	政府救济
governmental，adj.	政府的
gown，n.	礼服；长袍
grab，v.	抓住
grace，n.	优雅；恩典
graceful，adj.	优雅的
gracious，adj.	亲切的；仁慈的
grade，n.	年级；等级；成绩
gradual，adj.	逐渐的
gradually，adv.	逐渐地
graduate school，n.	研究生院
graduation ceremony，n.	毕业典礼
graduation certificate，n.	毕业证书
grail，n.	圣杯；梦寐以求的东西
grain，n.	谷物；颗粒
gram，n.	克
granary，n.	粮仓
grand，adj.	宏伟的；壮丽的；主要的
grandeur，n.	宏伟；壮丽
grandfather，n.	祖父；外祖父
grandfather clock，n.	落地钟
grandmother，n.	祖母；外祖母
grandson，n.	孙子；外孙
granite，n.	花岗岩
grant，n.	拨款；补助金
grant，v.	授予；同意
granular，adj.	颗粒状的
grape juice，n.	葡萄汁
grape skin，n.	葡萄皮
grape stone，n.	葡萄籽
grapefruit，n.	葡萄柚
graph，n.	图表
graphic，adj.	图形的；形象的
graphically，adv.	形象地
graphics，n.	图形；制图学
graphology，n.	笔迹学
grapple，v.	努力解决；搏斗
grasp，n.	抓住；理解
grasp，v.	抓住；理解
grass court，idiom/phrase: 草地网球场	
grass skirt，n.	草裙
grass-seed，n.	草籽
grasses，n.	草（种类）
grasshopper，n.	蚱蜢
grassy，adj.	长满草的
grateful，adj.	感激的
gratify，v.	使满意；使高兴
gratifying，adj.	令人满意的
gratitude，n.	感激
gratuity，n.	小费
grave，adj.	严重的；严肃的
grave，n.	坟墓
gravel，n.	碎石
gravitational，adj.	引力的
gravity，n.	重力；严重性
graze，v.	吃草；擦伤
grease，n.	油脂
grease，v.	涂油脂
greasy，adj.	油腻的
great，adj.	伟大的；巨大的；极好的
great success，idiom/phrase: 巨大成功	
greatly，adv.	非常；大大地
greedily，adv.	贪婪地
greedy，adj.	贪婪的；贪吃的
green，adj.	绿色的；环保的；没经验的
green，n.	绿色
green pepper，n.	青椒
green space，n.	绿地
green tax，n.	环保税
green tea，n.	绿茶
greengrocer，n.	蔬菜水果商
greenhouse，n.	温室
greenhouse effect，n.	温室效应
greeting，n.	问候；祝贺
gregarious，adj.	爱交际的；群居的
grenade，n.	手榴弹
grey，adj.	灰色的；阴沉的
grey，n.	灰色
greyhound，n.	灰狗
greyish，adj.	浅灰色的
grid，n.	网格；电网
grief，n.	悲伤；悲痛
grievance，n.	不满；委屈
grieve，v.	（使）悲伤
grill，n.	烤架
grill，v.	烧烤；盘问
grim，adj.	严峻的；冷酷的
grimly，adv.	严肃地；冷酷地
grimy，adj.	肮脏的
grin，n.	露齿笑
grin，v.	露齿而笑
grind，n.	苦差事；磨
grind，v.	磨碎；碾
grinding，adj.	刺耳的；没完没了的
grip，n.	紧握；控制
grip，v.	紧握；吸引
groan，v.	呻吟；抱怨
grocer，n.	食品杂货商
groceries，n.	食品杂货
grocery，n.	食品杂货店
groom，n.	新郎；马夫
groom，v.	打扮；梳理（毛发）
grope，v.	摸索
gross，adj.	总的；严重的；粗俗的
gross，n.	总额
gross，v.	总收入为
grossly，adv.	非常；严重地
ground，n.	地面；理由；场地
ground，v.	以…为基础；（因天气）使停飞
groundbreaking，adj.	开创性的
group，v.	分组；归类
group discussion，idiom/phrase: 小组讨论	
group interview，idiom/phrase: 小组面试	
group meetings，idiom/phrase: 小组会议	
group size，idiom/phrase: 团体规模	
group travel，idiom/phrase: 团体旅游	
group trip，idiom/phrase: 团体旅行	
groups，n.	团体（复数）
grove，n.	小树林
grower，n.	种植者
growing，adj.	日益增长的
growth，n.	增长；生长；发展
growth opportunities，idiom/phrase: 成长机会	
grudge，n.	怨恨
grudge，v.	吝惜；不愿给
grumble，v.	抱怨；发牢骚
guarantee，n.	保证；担保
guarantee，v.	保证；担保
guard，n.	警卫；看守
guardian，n.	监护人；保护者
guess，v.	猜测；认为
guessing，v.	猜测
guesswork，n.	猜测
guest，n.	客人；宾客
guestroom，n.	客房
guidance，n.	指导；引导
guide，v.	指导；带领
guideline，n.	指导方针；准则
guild，n.	协会；行会
guilt，n.	内疚；罪行
guiltily，adv.	内疚地
guinea，n.	几尼（旧时英国金币）
guitar，n.	吉他
gulf，n.	海湾；巨大分歧
gullibly，adv.	轻信地
gum，n.	口香糖；牙龈；树胶
gunpowder，n.	火药
gush，v.	涌出；迸发
gusher，n.	喷油井
gust，n.	一阵狂风
gut，n.	肠；内脏；勇气
gut，v.	取出内脏；毁坏内部
guzzle，v.	狂饮；暴食
gymnasium，n.	体育馆；健身房
gymnast，n.	体操运动员
gymnastics，n.	体操
gynecologist，n.	妇科医生
gypsophila，n.	满天星
habitable，adj.	适于居住的
habitation，n.	居住；住所
habitual，adj.	习惯性的
habituation，n.	习惯
haemoglobin，n.	血红蛋白
haemolytic，adj.	溶血性的
hail，n.	冰雹
hail，v.	下冰雹；欢呼；招呼
hair brush，idiom/phrase: 发刷	
hair-raising，adj.	令人毛骨悚然的
hairdresser，n.	理发师
hairdressing，n.	美发
hairdryer，n.	吹风机
hairdye，n.	染发剂
hairs，n.	毛发（复数）
hairy，adj.	多毛的
half，adv.	一半地
half human，idiom/phrase: 半人	
halfback，n.	（足球）中卫
halfway，adj.	中途的
halfway，adv.	在中途
halfway decent，idiom/phrase: 还算过得去	
halfway line，n.	中线
hall，n.	大厅；礼堂；走廊
hall of residence，n.	（大学）宿舍
hallmark，n.	特点；标志
hallowed，adj.	神圣的
halma，n.	跳棋
halt，n.	停止
halt，v.	（使）停止
halve，v.	把…减半
hamlet，n.	小村庄
hammer，n.	锤子
hammer，v.	锤击；反复强调
hammer out，idiom/phrase: 敲定；达成	
hammock，n.	吊床
hamper，v.	妨碍；阻碍
hamster，n.	仓鼠
hand，n.	手；帮助；指针
hand，v.	递；交
hand drill，idiom/phrase: 手钻	
hand in glove，idiom/phrase: 密切合作	
hand out，idiom/phrase: 分发	
hand over，v.	移交
handball，n.	手球
handbook，n.	手册
handedness，n.	用手习惯
handful，n.	一把；少数
handicap，n.	障碍；不利条件
handicap，v.	妨碍
handicapped，adj.	残疾的
handicapped，n.	残疾人
handicraft，n.	手工艺品
handkerchief，n.	手帕
handle，n.	把手
handle，v.	处理；应对；操作
handler，n.	处理者；驯兽师
handling，n.	处理；操作
handmade，adj.	手工制作的
handout，n.	讲义；宣传单
handouts，n.	讲义（复数）
handrail，n.	扶手
handsome，adj.	英俊的；大方的
handwriting，n.	笔迹；书法
handy，adj.	方便的；手边的
handyman，n.	杂活工
hang，v.	悬挂；绞死；垂下
hang on，idiom/phrase: 等一下；坚持住	
hang on to，idiom/phrase: 紧紧抓住	
hang over，idiom/phrase: 笼罩；悬而未决	
hang-gliding，n.	悬挂式滑翔运动
haphazard，adj.	随意的；无计划的
happening，n.	事件
happiness，n.	幸福；快乐
happy，adj.	快乐的；幸福的
happy atmosphere，idiom/phrase: 快乐的氛围	
happy childhood，idiom/phrase: 快乐的童年	
happy memories，idiom/phrase: 快乐的回忆	
harass，v.	骚扰；烦扰
harbour，n.	港口；避风港
harbour，v.	心怀；庇护
harbours，n.	港口（复数）
hard，adj.	硬的；困难的；努力的
hard，adv.	努力地；猛烈地
hard seat，n.	硬座
hard sleeper，n.	硬卧
hard working，adj.	努力工作的
hard-core，adj.	核心的；顽固的
hard-hoofed，adj.	硬蹄的
hard-wired，adj.	硬连线的；固有的
hard-won，adj.	来之不易的
hard-working，adj.	勤奋的
hardback，n.	精装书
